IP,Puerto,Protocolo,Servicio,Version_Completa,CVE,CVSS_Score,Criticidad
192.168.56.101,5900,tcp,vnc,VNC,CVE-2015-3252,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2016-5008,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2014-8241,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-5885,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-7393,8.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2015-8504,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-7980,7.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-4933,8.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-4941,8.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-15124,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-7225,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-7226,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2015-9254,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-6957,5.3,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-2633,5.4,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2016-9603,5.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-11458,8.1,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-11464,3.7,BAJO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-20019,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-20020,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-20021,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-20022,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-20023,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-20024,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-5892,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2018-15361,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8258,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8259,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8260,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8261,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8262,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8263,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8264,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8265,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8266,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8267,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8268,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8269,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8270,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8271,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8272,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8273,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8274,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8275,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8276,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8277,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-8280,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-1895,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2017-18635,6.1,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-17662,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-15681,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2010-4664,8.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2014-0011,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2015-5239,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2010-5304,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-20382,3.5,BAJO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2020-2205,4.8,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2020-2206,6.1,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2020-2207,6.1,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2020-25708,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2020-29480,2.3,BAJO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2020-10206,4.4,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2021-20590,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2021-41380,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2021-42785,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2022-25227,8.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2022-24422,9.6,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2022-27502,7.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2022-36436,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2022-41975,7.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2022-3165,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2022-41325,7.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-3354,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-3255,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-43633,8.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-41878,4.6,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-37935,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-47250,8.8,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-47251,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-43826,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2023-6683,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2024-42458,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-32428,0.0,INFO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-46352,9.8,CRÍTICO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-27457,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-27458,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-27459,4.4,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-40743,8.3,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-25248,5.3,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2025-11234,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2020-37134,7.5,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2024-55025,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2026-32064,7.7,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-25600,6.5,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2019-25601,6.2,MEDIO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2026-32853,8.1,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2026-1961,8.0,ALTO
192.168.56.101,5900,tcp,vnc,VNC,CVE-2026-42859,0.0,INFO
192.168.56.101,6000,tcp,X11,desconocido,Ninguno,0.0,INFO
192.168.56.101,6667,tcp,irc,UnrealIRCd,Ninguno,0.0,INFO
192.168.56.101,6697,tcp,irc,UnrealIRCd,Ninguno,0.0,INFO
192.168.56.101,8009,tcp,ajp13,Apache Jserv,Ninguno,0.0,INFO
192.168.56.101,8180,tcp,http,Apache Tomcat/Coyote JSP engine 1.1,Ninguno,0.0,INFO
192.168.56.101,8787,tcp,drb,Ruby DRb RMI,Ninguno,0.0,INFO
192.168.56.101,37619,tcp,nlockmgr,1-4,Ninguno,0.0,INFO
192.168.56.101,41181,tcp,java-rmi,GNU Classpath grmiregistry,Ninguno,0.0,INFO
192.168.56.101,43249,tcp,mountd,1-3,Ninguno,0.0,INFO
192.168.56.101,60683,tcp,status,1,CVE-2001-0734,7.2,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2002-0181,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2002-1446,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2003-0324,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2004-0063,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2004-0166,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2004-1685,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2004-1121,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2004-0274,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2004-1451,2.6,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2004-2710,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2004-1110,2.1,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2005-2044,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2005-0772,7.5,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2005-2278,7.2,ALTO
192.168.56.101,60683,tcp,status,1,CVE-2005-2707,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2005-2750,2.1,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2005-3921,2.6,BAJO
192.168.56.101,60683,tcp,status,1,CVE-2005-4809,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2006-5035,4.3,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2006-4409,5.0,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2007-0392,4.6,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2007-0393,4.6,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2007-0394,4.6,MEDIO
192.168.56.101,60683,tcp,status,1,CVE-2007-2785,6.8,MEDIO
